Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Liam Cole,,ADC,8,12.5%,2.4,3.5,3.8,5.6,7.8,385,67.4%,24.9,523,0.76,0.36,0.13,0.09,-743,-10,-518,12.5%,0%,0,-
Light,,ADC,120,50%,5,4.2,1.7,4.3,9.2,439,65.9%,25.9,613,1.15,0.42,0.33,0.08,-81,-,-,-,-,-,-
LilV,,ADC,23,21.7%,3.5,3.7,2.4,4.8,9,410,72.9%,26,666,1.13,0.42,0.31,0.11,-217,10,88,17.4%,17.4%,0,4
Lindgarde,,ADC,36,58.3%,6,5.8,1.9,5.7,9.5,465,70.7%,30.2,843,0.7,0.22,0.22,0.01,486,12,195,27.8%,11.1%,0,3
Lothen,,ADC,29,55.2%,5.9,4.6,1.7,5.2,9.3,442,66.8%,25.2,640,1.14,0.37,0.27,0.08,-72,-11,-237,10.3%,3.4%,0,6
Lucker,,ADC,40,45%,4.1,4.6,2.6,6.2,8.5,429,73%,28.4,693,0.82,0.29,0.21,0.02,182,2,94,32.5%,5%,0,3
Lucy,,ADC,33,42.4%,3.3,3.5,2.6,4.9,9.2,422,68.7%,25.8,659,01.07,0.37,0.31,0.12,-179,4,-28,15.2%,21.2%,0,1
Luger,,ADC,32,53.1%,3.5,4.7,3.3,6.8,8.5,426,65.8%,27,660,0.99,0.32,0.29,0.1,91,17,346,9.4%,28.1%,0,6
Lunatic,,ADC,7,0%,1.6,2.1,3.4,3.4,7.5,366,57.1%,19.3,350,0.79,0.32,0.19,0.1,-583,-3,-491,42.9%,14.3%,0,-
Luntear,,ADC,4,25%,1.8,2.3,5.3,7,5.9,356,64.9%,29.2,531,1.19,0.56,0.2,0.05,-1828,-21,-764,0%,25%,0,1
Lure,,ADC,106,52.8%,4.1,3.3,2.2,5.7,8.4,414,69.5%,29,682,1.38,0.55,0.36,0.15,-308,-15,-279,25.5%,7.5%,0,10
Lwx,,ADC,40,40%,2.8,3.7,2.8,4.2,9.2,423,62.2%,28.3,613,-,-,-,-,-,-,-,-,-,-,-
Lyonz,,ADC,1,0%,0.3,0,4,1,8.6,327,25%,30.6,726,0.98,0.35,0.24,0.08,-1775,-14,-509,0%,0%,0,-
M4rth,,ADC,52,57.7%,3.8,5.3,3.2,7,8.2,443,67%,25.1,684,01.05,0.4,0.21,0.07,-133,-2,-101,17.3%,9.6%,0,13
MKR,,ADC,13,15.4%,2.2,4.9,4.1,4.2,8.2,417,63.4%,25.1,613,0.62,0.27,0.18,0.02,-43,1,-247,15.4%,7.7%,0,5
Mangoo,,ADC,7,0%,1.6,2.6,3.7,3.4,7.7,375,58.6%,20.5,419,0.76,0.31,0.17,0.09,-599,-15,-168,28.6%,14.3%,0,-
Marble,,ADC,89,71.9%,7.3,5,1.6,6.8,8.5,446,66.7%,24.7,707,1.43,0.57,0.36,0.19,99,-2,26,21.3%,5.6%,0,6
Marcv1,,ADC,2,50%,8.7,4.5,1.5,8.5,9.5,424,80.2%,26.1,657,1.13,0.35,0.27,0.13,-1192,-8,-630,0%,50%,0,-
