Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Lagolinas,,MID,13,46.2%,3.7,3.5,2.6,6.2,8,393,73.5%,26.2,648,0.76,0.37,0.13,0.1,-420,-7,-272,15.4%,15.4%,0,5
Larssen,,MID,29,24.1%,3.5,3,2,4,9.3,418,73.9%,28.8,598,0.86,0.37,0.18,0.08,238,1,97,24.1%,6.9%,0,4
Lava,,MID,41,70.7%,4.8,4.1,2.4,7.3,8.9,435,68.1%,27,752,1.37,0.52,0.3,0.24,274,6,360,17.1%,14.6%,0,9
Leleko,,MID,67,64.2%,5.3,3.6,2,7,9,425,65.7%,25.7,675,1.16,0.44,0.26,0.16,-102,5,23,9%,3%,0,10
Leza,,MID,37,51.4%,3.7,4.3,2.7,5.8,9.6,458,66.5%,27.5,729,1.18,0.43,0.27,0.14,253,12,263,18.9%,10.8%,0,11
Linfeng,,MID,6,33.3%,2.4,3.8,3.5,4.7,7.8,373,59.7%,21.4,540,0.89,0.39,0.17,0.25,-173,-,-,-,-,-,-
Loki,,MID,99,54.5%,4.5,3.5,2.1,5.7,9.1,417,70.9%,26.6,622,01.02,0.44,0.3,0.18,-173,-5,-180,30.3%,7.1%,0,19
LorLor,,MID,23,60.9%,2.9,3.4,2.5,3.9,8.3,410,54.3%,24.1,576,1.2,0.4,0.29,0.15,-381,-6,-394,30.4%,13%,0,8
Luke,,MID,51,62.7%,3.4,4.5,2.9,5.5,9,448,55.7%,28.4,734,0.94,0.35,0.18,0.13,-5,0,-62,17.6%,11.8%,0,24
Lychee,,MID,18,5.6%,1.3,2.4,4.6,3.5,7.9,366,48%,22.2,530,0.72,0.27,0.16,0.09,-961,-17,-517,16.7%,22.2%,0,7
Lynkez,,MID,35,60%,4,3.5,2.4,6.3,9.4,432,67.6%,25,573,1.35,0.44,0.28,0.22,-441,-4,-109,17.1%,11.4%,0,6
M0NK,,MID,16,43.8%,1.9,5.6,5.6,4.8,8.5,427,53.3%,29,910,0.94,0.38,0.18,0.12,-344,-1,-405,6.3%,37.5%,0,16
MG,,MID,42,54.8%,5.7,5.4,2.2,7.1,9,446,68.8%,29.6,772,0.99,0.33,0.21,0.16,189,1,123,26.2%,0%,1,11
Macaquino,,MID,31,48.4%,4,3.8,2.7,7,8.3,412,64.7%,25.8,653,1.16,0.4,0.2,0.14,-241,-7,-91,25.8%,16.1%,0,7
Maple,,MID,89,73%,5.3,4.1,2,6.2,9.1,445,64.2%,25.9,698,1.29,0.48,0.28,0.21,372,1,185,16.9%,6.7%,0,14
Marty,,MID,31,51.6%,5.8,4.5,2,7.2,8.5,416,72.7%,29.1,770,0.73,0.26,0.15,0.06,194,5,20,16.1%,3.2%,0,6
Mask,,MID,29,24.1%,2.6,2.5,2.7,4.3,9.8,416,70%,31.2,696,1.4,0.38,0.41,0.17,-13,2,243,20.7%,13.8%,0,2
Matislaw,,MID,13,30.8%,5,3,1.8,6.2,8.6,389,70.8%,29.5,670,0.84,0.38,0.15,0.13,-125,-2,22,7.7%,0%,0,3
Maximillion,,MID,15,73.3%,4.6,5.6,3.1,8.7,8.1,443,64.2%,25.9,774,1.18,0.46,0.16,0.17,357,-9,156,33.3%,0%,0,9
Medzz,,MID,4,25%,3,4.5,3.3,5.3,8.4,397,56%,29.7,789,-,-,-,-,-,-,-,-,-,-,-
Mentos,,MID,26,46.2%,4.5,4.9,2.5,6.6,8.8,429,66.5%,24.7,696,0.93,0.35,0.21,0.09,-212,0,-92,3.8%,0%,0,4
Mercy9,,MID,47,55.3%,4,4.8,2.8,6.4,9.1,436,64%,27.1,671,1.19,0.33,0.31,0.1,242,7,356,21.3%,14.9%,0,22
Messages,,MID,21,28.6%,2.3,2.2,3.3,5.4,8.3,390,64%,25.5,585,0.94,0.42,0.17,0.14,-678,-13,-336,4.8%,23.8%,0,2
Mettalica,,MID,26,26.9%,2.2,4.1,3.8,4.4,8.1,401,61.6%,28.8,646,0.99,0.41,0.16,0.1,24,-2,-126,23.1%,7.7%,0,14
